"","id","publication_date","financial_disclosure","title"
"1","10.1371/journal.pone.0000515","2007-06-13T00:00:00Z","MRC, Wellcome Trust","High-Threshold Mechanosensitive Ion Channels Blocked by a Novel Conopeptide Mediate Pressure-Evoked Pain"
"2","10.1371/journal.pgen.0040009","2008-01-18T00:00:00Z","This work was supported by the Wellcome Trust","Large-Scale Population Study of Human Cell Lines Indicates that Dosage Compensation Is Virtually Complete"
"3","10.1371/journal.pgen.0030071","2007-05-11T00:00:00Z","This work was funded by The Wellcome Trust.","Y Chromosome Lineage- and Village-Specific Genes on Chromosomes 1p22 and 6q27 Control Visceral Leishmaniasis in Sudan"
"4","10.1371/journal.pgen.0020193","2006-11-17T00:00:00Z","This work is supported by the Wellcome Trust.","Defining Synphenotype Groups in Xenopus tropicalis by Use of Antisense Morpholino Oligonucleotides"
"5","10.1371/journal.pgen.0020206","2006-12-15T00:00:00Z","This work was supported by The Wellcome Trust.","The Complete Genome Sequence and Comparative Genome Analysis of the High Pathogenicity Yersinia enterocolitica Strain 8081"
"6","10.1371/journal.pone.0001178","2007-11-14T00:00:00Z","The Wellcome Trust [29156]","NF-κB/Rel-Mediated Regulation of the Neural Fate in Drosophila"
"7","10.1371/journal.pone.0001752","2008-03-12T00:00:00Z","BBSRC and Wellcome Trust for funding.","Quantitative Trait Loci for Bone Lengths on Chromosome 5 Using Dual Energy X-Ray Absorptiometry Imaging in the Twins UK Cohort"
"8","10.1371/journal.pone.0001718","2008-03-05T00:00:00Z","Wellcome Trust, BBSRC","Adaptor SKAP-55 Binds p21ras Activating Exchange Factor RasGRP1 and Negatively Regulates the p21ras-ERK Pathway in T-Cells"
"9","10.1371/journal.pcbi.1000211","2008-11-07T00:00:00Z","This work was supported by the Wellcome Trust.","Hierarchical Models in the Brain"
"10","10.1371/journal.ppat.1000027","2008-03-21T00:00:00Z","This work was funded by the Wellcome Trust.","HTLV-1 Integration into Transcriptionally Active Genomic Regions Is Associated with Proviral Expression and with HAM/TSP"
"11","10.1371/journal.pgen.0020100","2006-07-28T00:00:00Z","This work was supported by the Wellcome Trust.","Matrix-Assisted Laser Desorption/Ionisation, Time-of-Flight Mass Spectrometry in Genomics Research"
"12","10.1371/journal.pone.0000256","2007-02-28T00:00:00Z","The Wellcome Trust (UK registered charity)","The Lingering Effects of an Artificial Blind Spot"
"13","10.1371/journal.pone.0001089","2007-10-31T00:00:00Z","The Wellcome Trust (UK) and NHMRC (Australia)","Chloroquine Resistant Plasmodium vivax: In Vitro Characterisation and Association with Molecular Polymorphisms"
