"doi","Id","grant_title"
"10.1371/journal.pone.0052045","084253","Improving quality of paediatric outpatient malaria case-management using mobile phone text-messaging in Kenya."
"10.1371/journal.pone.0052045","092654","Oxford part of Kenya MOP renewal 2010 - 2015"
"10.1371/journal.pone.0038636","084253","Improving quality of paediatric outpatient malaria case-management using mobile phone text-messaging in Kenya."
"10.1371/journal.pone.0038636","092654","Oxford part of Kenya MOP renewal 2010 - 2015"
"10.1371/journal.pone.0070735","098381","Characterising causal alleles for common disease."
"10.1371/journal.pone.0070735","068545","Genetics advisory group for 1958 birth cohort."
"10.1371/journal.pone.0054145","081667","Clinical proteomic and genomic characterisation of the immune reconstitution inflammatory syndrome in HIV-associated tuberculosis"
"10.1371/journal.pone.0054145","088316","Quadruple intervention against tuberculosis."
"10.1371/journal.pone.0069246","057704","Molecular and cellular pathways underlying development and resolution of airway remodelling."
"10.1371/journal.pone.0054100","081039","Musculoskeletal Study of Limb Development in Vertebrates by Magnetic Resonance Imaging Microscopy."
"10.1371/journal.pone.0076973","081475","The molecular mechanisms of activation of G-protein gated inwardly rectifying K+ channels"
"10.1371/journal.pone.0001100","078067","Optimizing the translation of MODS into policy and practice to maximize utility and impact"
"10.1371/journal.pone.0067852","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0007144","042065","Differentiation and function of mechanosensory epithelial cells from the mammalian inner ear."
"10.1371/journal.pone.0007144","074556","Probabilistic models for temporal gene array expression profiles and inferenceof transcriptional networks in mammalian inner ear."
"10.1371/journal.pone.0080004","088908","Engineering Solutions for an Ageing Population with Musculoskeletal & Cardiovascular Disease. 50 more years after 50."
"10.1371/journal.ppat.1000778","079699","Analysing the interactions of arthropod-borne viruses with their arthropod host."
"10.1371/journal.pmed.0030184","072426","Bioinformatic and DNA immunisation strategies to generate neutralising antibodies specific to conserved haemostasis-disruptive toxins in African viper venom"
"10.1371/journal.pbio.0040332","074039","Identification of cellular factors involved in nuclear import of HIV-1 and DNA viruses."
"10.1371/journal.pmed.0050038","076951","Constructing contemporary global maps of Plasmodium falciparum and P.vivax endemicity."
"10.1371/journal.pmed.0050038","081829","Defining vulnerable populations using spatial models to support the equitable delivery of insecticide treated nets (ITN) in Kenya."
"10.1371/journal.pone.0024524","081829","Defining vulnerable populations using spatial models to support the equitable delivery of insecticide treated nets (ITN) in Kenya."
"10.1371/journal.pmed.1000143","077383","Learning from the human genome how protective immunity against malaria works."
"10.1371/journal.pmed.1000143","087285","The ethics of collaborative global health research: a network to build capacity in the United Kingdom and developing countries."
"10.1371/journal.pbio.1000285","057559","The Y chromosome as a marker for the history and structure of human populations."
"10.1371/journal.pntd.0002091","083931","Schistosomiasis, hookworm and atopy in Uganda: IgE function, regulation and immunity."
"10.1371/journal.pone.0051300","067441","Lipid biosynthesis and its influence on the glycosylphosphatidylinositol pathway in protozoan parasites."
"10.1371/journal.pone.0051300","086658","Validating choline metabolism as a drug target in the fight against T.brucei"
"10.1371/journal.pone.0051300","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pmed.0050241","076827","Improving the delivery of evidence based care for severely ill children at district level in Kenya."
"10.1371/journal.pone.0069853","083563","Discovery and annotation of regulatory elements in metazoan genomes."
"10.1371/journal.pone.0054026","077166","Major overseas programme Thailand. Thailand funds."
"10.1371/journal.pone.0054026","083735","A study of the epidemiology of lower respiratory tract infection and pneumococcal carriage in refugee infants living on the Thai-Burmese border."
"10.1371/journal.pone.0050100","077166","Major overseas programme Thailand. Thailand funds."
"10.1371/journal.pone.0050100","083735","A study of the epidemiology of lower respiratory tract infection and pneumococcal carriage in refugee infants living on the Thai-Burmese border."
"10.1371/journal.pone.0031433","088719","Functional maturation of ribbon synapses in mammalian cochlear inner hair cells."
"10.1371/journal.pone.0031433","077189","Genetics of deafness."
"10.1371/journal.pone.0080720","082744","Emerging arboviruses: the effect of vector and host biology and genetic diversity on the emergence and maintenance of the flaviviruses."
"10.1371/journal.pone.0080720","088789","Systematic Bioinformatic Discovery of 'Hidden' Virus Genes."
"10.1371/journal.pone.0080720","096082","High resolution genome-wide analysis of small RNA mediated translational regulation."
"10.1371/journal.pgen.1003509","077383","Learning from the human genome how protective immunity against malaria works."
"10.1371/journal.pgen.1003509","090770","Resource centre for genomic epidemiology of malaria."
"10.1371/journal.pgen.1003509","087285","The ethics of collaborative global health research: a network to build capacity in the United Kingdom and developing countries."
"10.1371/journal.pgen.1003509","096527","'The Global Health Bioethics Network: a programme to carry out ethics research and build ethics capacity across the Wellcome Trust's Major Overseas Programmes.'"
"10.1371/journal.pgen.1003509","090532","Understanding the genetic basis of common human diseases: core funding for the Wellcome Trust Centre for Human Genetics."
"10.1371/journal.pgen.1003509","077012","Cancer Genome Project."
"10.1371/journal.pgen.1003509","097364","Statistical methods for understanding the genetics of human disease phenotypes."
"10.1371/journal.pgen.1003509","091758","The health consequences of inherited red blood cell disorders in Kenya."
"10.1371/journal.pntd.0000752","073135","Evaluation of the determinants of human scrub typhus infection."
"10.1371/journal.pone.0023376","083228","Mechanisms of cardiovascular pleiotropy and buffering in Cited2 deficiency."
"10.1371/journal.ppat.1003502","055558","Antigenic variation and transmission of African trypanosomes."
"10.1371/journal.ppat.1003502","083224","Molecular functions in disease."
"10.1371/journal.ppat.1003502","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0040938","077186","Mouse Cancer Genetics and Genomics"
"10.1371/journal.pone.0005347","057586","The enzymology of genetic recombination and DNA repair in Schizosaccharomyces pombe."
"10.1371/journal.pone.0013544","068545","Genetics advisory group for 1958 birth cohort."
"10.1371/journal.pone.0013544","061858","JDRF/WT Diabetes and Inflammation Laboratory."
"10.1371/journal.pcbi.1003335","098362","The neurobiology of motivation in health and disease."
"10.1371/journal.pcbi.1003335","091593","Core support for the Wellcome Trust Centre for Neuroimaging"
"10.1371/journal.pone.0000822","064874","The functions of the AgToll protein from Anopheles gambiae during malaria parasite infection."
"10.1371/journal.pone.0062993","087797","A quantitative (Bayesian) assessment of veterinary surgeons clinical beliefs in order to improve preventive healthcare for dairy cattle."
"10.1371/journal.pgen.1002003","077016","Genetic studies of the aetiology of human metabolic disease: morbid obesity, obesity, severe insulin resistance and type 2 diabetes."
"10.1371/journal.pone.0055923","090532","Understanding the genetic basis of common human diseases: core funding for the Wellcome Trust Centre for Human Genetics."
"10.1371/journal.pone.0055923","091746","Genomics of quantitative variation."
"10.1371/journal.pone.0060550","091593","Core support for the Wellcome Trust Centre for Neuroimaging"
"10.1371/journal.pntd.0000902","079791","The genetic basis of podoconiosis - a model for gene environment interactions."
"10.1371/journal.pone.0043987","077383","Learning from the human genome how protective immunity against malaria works."
"10.1371/journal.pone.0043987","090770","Resource centre for genomic epidemiology of malaria."
"10.1371/journal.pone.0043987","090532","Understanding the genetic basis of common human diseases: core funding for the Wellcome Trust Centre for Human Genetics."
"10.1371/journal.pone.0043987","077012","Cancer Genome Project."
"10.1371/journal.pone.0043987","087285","The ethics of collaborative global health research: a network to build capacity in the United Kingdom and developing countries."
"10.1371/journal.pone.0043987","096527","'The Global Health Bioethics Network: a programme to carry out ethics research and build ethics capacity across the Wellcome Trust's Major Overseas Programmes.'"
"10.1371/journal.pone.0027779","083848","Physiological Sciences"
"10.1371/journal.ppat.1003163","096072","How does the pathogen Candida albicans sense heat and activate the thermal adaptation mechanisms that promote infection?."
"10.1371/journal.pgen.1003717","098024","Understanding the role of CpG islands in gene regulatory element function and transcription."
"10.1371/journal.pgen.1003717","081385","Molecular mechanisms governing X chromosome inactivation; a model for understanding epigenetic regulation of the genome in differentiation and development."
"10.1371/journal.pone.0040810","077108","Genome-wide identification of novel extracellular protein:protein interactions with functional annotation in the model vertebrate, the zebrafish."
"10.1371/journal.pgen.1003562","086578","Cell Biology"
"10.1371/journal.pgen.1003562","092076","Core funding renewal for the Wellcome Trust Centre for Cell Biology ."
"10.1371/journal.pgen.1003562","098030","The specialised apparatus for meiotic chromosome segregation in oocytes."
"10.1371/journal.pone.0068177","098362","The neurobiology of motivation in health and disease."
"10.1371/journal.pone.0068177","091593","Core support for the Wellcome Trust Centre for Neuroimaging"
"10.1371/journal.pmed.1001238","090569","Costs and effects of a multifaceted intervention to improve the quality of care of children in district hospitals in Kenya"
"10.1371/journal.pmed.1001238","076827","Improving the delivery of evidence based care for severely ill children at district level in Kenya."
"10.1371/journal.pmed.1001238","092654","Oxford part of Kenya MOP renewal 2010 - 2015"
"10.1371/journal.pntd.0000482","079791","The genetic basis of podoconiosis - a model for gene environment interactions."
"10.1371/journal.pone.0001668","057733","Functional genomics of type 2 diabetes quantitative trait loci in rat models."
"10.1371/journal.pmed.0050128","074637","Optimising the management of drug resistant vivax malaria in Papua, Indonesia"
"10.1371/journal.pntd.0002571","092573","In vivo imaging of Trypanosoma cruzi infections as a tool for assessing drug efficacy against chronic Chagas disease."
"10.1371/journal.pntd.0002571","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0037166","077166","Major overseas programme Thailand. Thailand funds."
"10.1371/journal.pone.0069978","081858","Elucidating the molecular mechanisms of intracellular mRNA transport and anchoring."
"10.1371/journal.pmed.0050142","076951","Constructing contemporary global maps of Plasmodium falciparum and P.vivax endemicity."
"10.1371/journal.pone.0058034","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0030274","067232","Case-control study of levels and patterns of alcohol consumption and socio-economic factors in relation to mortality among working-age men in the Udmurt Republic, Russia"
"10.1371/journal.pone.0030274","078557","Alcohol and mortality: from aetiology to intervention."
"10.1371/journal.pone.0027273","077166","Major overseas programme Thailand. Thailand funds."
"10.1371/journal.pone.0008088","076278","Infection dynamics of respiratory syncytial virus (RSV): molecular and immuno-epidemiological studies in rural Kenya."
"10.1371/journal.pntd.0002526","074732","The genetics of drug resistance in African trypanosomes."
"10.1371/journal.pntd.0002526","080553","Molecular Functions in Disease."
"10.1371/journal.pntd.0002526","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0032674","083485","Characterisation of Orc1/Cdc6 and DNA replication initiation in Trypanosoma brucei."
"10.1371/journal.pone.0035551","074617","Molecular and cellular approaches to ocular angiogenesis."
"10.1371/journal.pone.0047502","088130","Functional architectures in the brain."
"10.1371/journal.pone.0061334","091074","T-cell regulation of CNS autoimmune disease."
"10.1371/journal.pone.0064514","086598","Coated vesicle adaptors."
"10.1371/journal.pone.0036619","085622","The biosynthesis of glycoproteins in Trypanosoma brucei: basic and translational research."
"10.1371/journal.pone.0036619","083481","Wellcome Trust Centre for Drug Discovery."
"10.1371/journal.pone.0023012","083209","The cellular and molecular basis of disease."
"10.1371/journal.pone.0059913","089059","Maintaining functional integrity of gastric epithelium:identification of novel transcriptional mechanisms."
"10.1371/journal.pmed.1001297","076908","An open label randomised comparison of injectable artesunate and quinine in patients with severe falciparum malaria in Africa."
"10.1371/journal.pone.0008937","084538","Developing research capacity and leadership in East Africa from the KEMRI- Wellcome Trust Research Programme, Kenya"
"10.1371/journal.pone.0008937","081829","Defining vulnerable populations using spatial models to support the equitable delivery of insecticide treated nets (ITN) in Kenya."
"10.1371/journal.pone.0082110","088335","The influence of non-coding RNAs on chromatin structure in budding yeast."
"10.1371/journal.ppat.1003686","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0069673","095021","How centromeres are specified: the interplay between heterochromatin, CENP-A chromatin, and kinetochore assembly."
"10.1371/journal.pone.0069673","065061","Linking RNA interference, silent chromatin formation and kinetochore assembly."
"10.1371/journal.pone.0069673","092076","Core funding renewal for the Wellcome Trust Centre for Cell Biology ."
"10.1371/journal.pone.0077620","087582","Systematic analysis of essential parasite genes linked to invasion of the host cell in Toxoplasma gondii."
"10.1371/journal.pone.0077620","085349","The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pone.0057082","088517","Complement, SLE and modulation of the adaptive immune response."
"10.1371/journal.pone.0029209","074128","The regulation of excitatory and inhibitory junctional transmission."
"10.1371/journal.ppat.1003260","079457","Molecular mechanisms underlying mono-telomeric variant surface glycoprotein expression and antigenic variation in African trypanosomes."
"10.1371/journal.ppat.1003260","083648","The histone acetylation machinery in Trypanosoma brucei: roles in gene expression and recombination and chemotherapeutic potential."
"10.1371/journal.pmed.1000427","063410","Strategies for the management of multi-drug resistant tuberculosis in Kampala, Uganda."
"10.1371/journal.pgen.1002417","081164","A new approach to understand chromosomal instability: identification and characterization of DNA-damage cover-up proteins."
"10.1371/journal.ppat.1001299","081569","An integrated multi-disciplinary approach to unravel complex and essential cell wall biosynthetic pathways involved in arabinogalactan and lipoarabinomannan assembly in Mycobacterium tuberculosis."
"10.1371/journal.ppat.1002258","091296","Extrachromosomal elements of Chlamydia: Development of an efficient transformation system for Chlamydia trachomatis."
"10.1371/journal.pone.0009092","065530","The action of the Epstein-Barr virus encoded RNAs in vivo"
"10.1371/journal.pone.0042572","083209","The cellular and molecular basis of disease."
"10.1371/journal.pone.0035851","053335","The nature and causes of language impairments in children."
"10.1371/journal.pone.0008668","076945","Mechanisms and consequences of host-mediated macrophage apoptosis in pneumococcal pneumonia. min bid02000405"
"10.1371/journal.pmed.1000015","076827","Improving the delivery of evidence based care for severely ill children at district level in Kenya."
"10.1371/journal.pmed.1000301","081829","Defining vulnerable populations using spatial models to support the equitable delivery of insecticide treated nets (ITN) in Kenya."
