"doi","publication_date","title","financial_disclosure","grants","Id","grant_title"
"10.1371/journal.pbio.0040332","2006-10-03","tRNAs Promote Nuclear Import of HIV-1 Intracellular Reverse Transcription Complexes","AF is a Wellcome Trust University Fellow (grant ref. 074039/Z/03/Z).","74039",74039,"Identification of cellular factors involved in nuclear import of HIV-1 and DNA viruses."
"10.1371/journal.pbio.0050106","2007-04-17","Peptides Encoded by Short ORFs Control Development and Define a New Eukaryotic Gene Family","This work was funded by a Wellcome Trust Senior Research Fellowship (057730/Z/99/B) to JPC.","57730",57730,"A new cell signal required for patterning and morphogenesis downstream of EGFR-Ras."
"10.1371/journal.pbio.0050210","2007-08-07","Precise Positioning of Myosin VI on Endocytic Vesicles In Vivo","The Multi-Photon Imaging and Time Resolved Spectroscopy Station at the National Centre for Biological Sciences was sponsored by a grant from the Wellcome Trust. This work was supported in part by a research grant from the March of Dimes Birth Defects Foundation (6-FY02–150) to TH, grants from the National Institutes of Health to TH and JAS (GM33289), and a Senior Research Fellowship from The Wellcome Trust (056727/Z/99) to SM. DA was supported by an American Heart Association Predoctoral Fellowship.","56727",56727,"Multiphoton confocal imaging, fluorescence correlation and time-resolved spectroscopy to study membrane rafts, protein folding and olfactory coding."
"10.1371/journal.pbio.0060260","2008-10-28","Structural Homeostasis: Compensatory Adjustments of Dendritic Arbor Geometry in Response to Variations of Synaptic Input","This work was supported by the Wellcome Trust by a studentship under the auspices of the 4-Year PhD Programme in Developmental Biology to MT and a Programme Grant to MB and ML (Ref.: 075934). AM is funded by a Medical Research Council (MRC) studentship and a Gates Cambridge Scholarship. The work was also supported by the Royal Society: MB is a Royal Society Research Professor and ML a Royal Society Research Fellow.","75934",75934,"Cellular and genetic analysis of dendritic morphogenesis and synaptic patterning"
"10.1371/journal.pbio.0060284","2008-11-18","Drosophila Neurotrophins Reveal a Common Mechanism for Nervous System Formation","This work was funded by Medical Research Council (MRC) Career Establishment Grant 61340 and Wellcome Trust Equipment Grant 073228 to AH, and Biotechnology and Biological Sciences Research Council (BBSRC) and MRC studentships to PM, JAP, and BS.","61340;73228",73228,"Confocal microscopy for time-lapse, FRET and calcium imaging analyses of cellular processes."
"10.1371/journal.pbio.1000135","2009-06-23","Positional Cues in the Drosophila Nerve Cord: Semaphorins Pattern the Dorso-Ventral Axis","This work was supported by grants from the Wellcome Trust (Wellcome Trust Prize fellowship to MZ and Programme grant 075934) and the Royal Society and funds from Columbia University. MB is a Royal Society Research Professor. MZ is a Junior Research Fellow at Trinity College, Cambridge. MS was supported by an EMBO fellowship. The funders had no role in study design, data collection and analysis, or preparation of the manuscript.","75934",75934,"Cellular and genetic analysis of dendritic morphogenesis and synaptic patterning"
"10.1371/journal.pbio.1000200","2009-09-22","Midline Signalling Systems Direct the Formation of a Neural Map by Dendritic Targeting in the Drosophila Motor System","This work was supported by a Wellcome Trust Programme grant to Michael Bate and ML (Ref.: 075934) and by The Royal Society through a Royal Society University Research Fellowship to ML. AM was funded by a Medical Research Council studentship and a Gates Cambridge Scholarship. MT was supported by the Wellcome Trust by a studentship under the auspices of the 4-Year PhD Programme in Developmental Biology. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","75934",75934,"Cellular and genetic analysis of dendritic morphogenesis and synaptic patterning"
"10.1371/journal.pbio.1000285","2010-01-19","A Predominantly Neolithic Origin for European Paternal Lineages","MAJ was supported by a Wellcome Trust Senior Fellowship in Basic Biomedical Science (grant number 057559); PB, GRB, SMA, ZHR, and CTS were supported by the Wellcome Trust (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","57559",57559,"The Y chromosome as a marker for the history and structure of human populations."
"10.1371/journal.pbio.1000533","2010-11-09","The DNA Methylome of Human Peripheral Blood Mononuclear Cells","This project was supported by the National Natural Science Foundation of China (30725008; 30890032;30811130531), the Chinese 863 program (2006AA02Z177, 2006AA02A301), the Chinese Academy of Science (GJHZ0701-6), the Shenzhen Municipal Government of China (grants JC200903190772A, CXB200903110066A, ZYC200903240077A, ZYC200903240076A and ZYC200903240080A), the Danish Platform for Integrative Biology and the Ole Romer grant from the Danish Natural Science Research Council. This project was also funded by the Yantian District local government of Shenzhen. SB was supported by The Wellcome Trust (grant 084071) and is recipient of a Royal Society Wolfson Research Merit Award. JZ is supported by the funds from National Science Foundation(90919024, and 30921140312), National Research Program for Basic Research(2009CB825606, 2009CB825607 and 2010CB912802), and Shanghai Science Foundation(09JC141300). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84071",84071,"Genetics of the MHC and LRC."
"10.1371/journal.pbio.1000568","2011-01-04","The Gene Regulatory Cascade Linking Proneural Specification with Differentiation in Drosophila Sensory Neurons","This work was supported by a grant from the Wellcome Trust (077266) (http://www.wellcome.ac.uk) and studentships to FGN from the BBSRC (http://www.bbsrc.ac.uk), to LM from the China Scholarship Council/University of Edinburgh (http://www.csc.edu.cn, http://www.ed.ac.uk), and to SC from the Darwin Trust of Edinburgh. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77266",77266,"An integrated functional genomic approach to understanding gene regulation during neurogenesis."
